YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LATITUDE,LONGITUDE,DEPTH,MAGNITUDE
1964,2,24,23,30,25.0,38.9,23.9,10,5.3
1964,4,11,16,0,0.0,39.75,25.25,10,5.7
1964,4,29,4,21,0.0,39.25,23.75,10,5.8
1964,4,29,17,0,3.0,39.25,23.75,10,5.2
1964,7,17,2,34,28.0,38.0,23.5,150,5.8
1964,7,18,3,40,11.0,35.5,25.5,10,5.4
1964,10,6,14,29,57.0,39.75,28.0,10,5.3
1964,10,6,14,31,22.0,39.75,28.0,10,7.0
1964,10,17,9,50,27.0,35.0,25.5,10,5.9
1965,1,7,10,22,17.0,36.5,26.5,10,5.3
1965,3,31,12,1,6.0,38.5,21.75,10,5.1
1965,11,2,3,27,8.5,39.3,25.3,10,5.2
1965,11,28,5,26,2.0,35.9,27.9,10,5.4
1965,12,20,0,8,11.6,40.1,24.8,10,5.9
1966,2,5,2,1,42.8,39.1,21.6,10,5.9
1966,2,5,2,57,58.1,39.0,21.9,10,5.2
1966,5,4,6,36,50.2,39.3,21.3,10,5.5
1966,5,9,0,42,55.3,34.5,26.5,10,5.4
1966,8,21,1,30,45.0,40.0,27.4,10,5.3
1966,9,1,14,22,57.0,37.5,22.3,10,6.0
1966,10,29,2,39,25.8,38.8,21.0,10,6.0
1967,1,4,5,58,51.2,38.4,21.8,10,5.3
1967,3,4,18,37,57.5,39.2,24.6,10,5.1
1967,11,30,7,23,49.0,41.4,20.5,10,6.6
1967,12,2,12,44,38.0,41.4,20.0,10,5.3
1968,2,19,22,45,39.0,39.5,24.8,10,6.7
1968,3,28,7,40,0.0,37.8,20.9,10,5.6
1968,3,28,16,37,50.0,39.25,20.5,10,5.4
1968,4,24,8,18,0.0,39.4,24.9,10,5.1
1968,5,30,17,40,26.0,35.3,27.9,100,5.6
1968,7,27,2,45,48.0,35.4,27.9,10,5.2
1968,7,31,19,29,29.0,35.7,27.9,10,5.2
1968,10,31,3,22,14.0,36.7,27.1,10,5.6
1968,11,12,3,37,35.0,36.8,27.3,10,5.1
1968,12,5,7,52,5.0,36.6,27.1,10,6.1
1969,1,14,23,12,9.0,36.2,28.9,10,6.0
1969,3,23,21,8,41.0,39.0,28.5,10,5.8
1969,3,24,1,59,31.0,39.0,28.5,10,5.1
1969,3,25,13,21,32.0,39.0,28.5,10,5.7
1969,3,28,1,48,28.0,38.6,28.5,10,6.6
1969,4,3,22,12,20.0,40.5,19.9,10,5.5
1969,4,3,23,45,12.0,40.0,19.9,10,5.1
1969,4,6,3,49,30.0,38.4,26.8,10,5.5
1969,4,30,20,20,27.0,39.1,28.9,10,5.2
1969,5,1,18,2,12.0,35.3,27.8,10,5.1
1969,6,12,15,13,13.1,34.5,25.0,10,5.6
1969,7,8,8,9,14.0,37.6,20.1,10,5.7
1969,9,28,22,54,3.0,34.1,24.9,10,5.1
1969,10,13,1,2,32.0,39.6,20.7,10,5.6
1970,4,8,13,50,28.0,38.3,22.6,10,5.4
1970,4,23,9,1,23.0,39.2,28.7,10,5.4
1970,8,19,2,1,53.0,40.8,19.9,10,5.2
1971,2,23,19,41,23.0,39.6,27.2,10,5.3
1972,5,4,21,40,5.0,35.3,23.6,50,6.1
1972,9,13,4,13,23.0,37.8,22.4,40,5.4
1972,9,16,3,53,29.0,39.9,20.0,10,5.3
1972,9,17,14,7,14.0,38.2,20.4,10,5.8
1972,10,30,14,32,10.0,38.3,20.4,10,5.1
1973,1,5,5,49,17.0,35.9,21.9,10,5.2
1973,11,4,15,52,14.0,38.78,20.55,10,5.4
1973,11,12,0,11,46.0,35.6,27.7,10,5.1
1973,11,29,10,57,42.0,35.2,23.6,10,5.5
1975,3,17,5,35,14.0,40.4,26.2,10,5.2
1975,3,27,5,15,6.0,40.4,26.1,10,5.7
1975,4,4,5,16,18.0,38.1,22.1,10,5.1
1975,6,30,13,26,55.0,38.4,21.7,10,5.4
1975,9,16,5,6,22.0,41.3,19.4,10,5.1
1975,9,22,0,45,4.0,35.6,26.5,50,5.1
1975,11,22,10,6,8.0,39.8,20.3,10,5.1
1975,12,21,16,7,52.0,38.4,21.7,10,5.1
1975,12,31,9,45,44.0,38.5,21.7,10,5.1
1976,1,18,15,10,30.0,38.7,20.4,10,5.2
1976,5,11,17,10,9.0,37.2,20.5,10,5.2
1976,6,12,0,59,18.0,37.3,20.4,7,5.6
1976,9,30,0,32,58.6,37.4,20.3,10,5.1
1977,8,18,9,27,43.8,35.3,23.4,50,5.2
1977,9,11,23,19,22.0,35.0,23.1,10,5.9
1977,11,28,2,59,11.0,36.0,27.5,10,5.2
1977,12,16,7,37,28.0,38.3,27.2,10,5.3
1978,1,29,10,23,42.0,34.9,25.7,10,5.4
1978,3,7,22,33,45.0,34.5,25.3,10,5.1
1978,5,23,23,34,11.0,40.7,23.3,33,5.4
1978,6,20,20,3,21.0,40.8,23.3,33,6.0
1978,8,18,20,53,21.0,41.8,20.4,10,5.1
1979,4,15,6,19,42.0,42.0,19.0,10,6.8
1979,5,15,6,59,21.0,34.6,24.5,10,5.4
1979,6,14,11,44,44.0,38.7,26.6,10,5.5
