YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LATITUDE,LONGITUDE,DEPTH,MAGNITUDE
1997,JAN,1,2,59,32,38.11,23.83,4,2.2,
1997,JAN,1,8,50,48,36.63,27.2,5,3.8,
1997,JAN,1,10,5,9.6,36.59,25.73,5,3.3,
1997,JAN,1,10,38,58.7,34.97,25.34,29,4,
1997,JAN,1,16,34,55.4,38.65,21.52,5,2.8,
1997,JAN,2,10,22,51.7,36.88,26.3,10,3.6,
1997,JAN,2,12,10,4.4,35.45,27.66,44,3.4,
1997,JAN,2,15,9,1.7,37.63,20.68,5,3.4,
1997,JAN,2,15,22,26.3,37.65,20.87,5,4,
1997,JAN,2,15,31,23.6,37.48,20.34,10,2.8,
1997,JAN,2,15,42,20.9,37.71,21.26,18,3.2,
1997,JAN,2,15,47,13.8,40.02,20.33,5,3,
1997,JAN,2,16,13,44.8,36.21,27.1,2,3.7,
1997,JAN,3,3,23,57.8,37.55,22.07,5,3,
1997,JAN,3,4,34,36.4,38.06,21.48,9,2.9,
1997,JAN,3,14,51,21,35.6,24.04,10,3.2,
1997,JAN,3,19,52,23.7,35.54,26.98,15,3.7,
1997,JAN,4,3,38,3.8,38.78,21.65,5,3.1,
1997,JAN,4,4,54,5.5,36.59,27.15,5,3.7,
1997,JAN,4,6,38,10.5,36.54,27.18,5,3.9,
1997,JAN,4,17,6,14.8,36.59,25.7,5,3.6,
1997,JAN,4,19,43,8.3,38.83,26.37,5,3.8,
1997,JAN,5,4,40,52.4,35.26,25.4,10,3.4,
1997,JAN,5,5,30,14.9,35.51,27.39,5,3.7,
1997,JAN,5,6,10,13.1,37.92,27.2,10,3.6,
1997,JAN,5,6,44,35.8,38.61,26.03,5,3.3,
1997,JAN,5,6,53,50.8,38.57,20.64,5,2.9,
1997,JAN,5,7,16,16.4,38.94,23.54,16,3.3,
1997,JAN,5,7,18,26.2,38.94,23.3,5,3.7,
1997,JAN,5,13,8,19.3,38.97,23.54,29,4,
1997,JAN,5,14,49,46.5,38.92,23.29,5,3.5,
1997,JAN,6,14,17,5.8,40.48,23.67,10,3.7,
