YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LATITUDE,LONGITUDE,DEPTH,MAGNITUDE
1999,JAN,1,3,19,31.2,35.34,24.28,16,3.8
1999,JAN,1,4,39,51.9,37.27,20.58,5,3.1
1999,JAN,2,9,35,36.7,36.02,21.37,13,3.1
1999,JAN,2,9,59,48,37.73,21.26,5,2.8
1999,JAN,2,18,48,57.5,38.91,21.06,5,3
1999,JAN,3,2,19,33.4,38.87,21.05,10,2.9
1999,JAN,3,7,27,49.7,35.19,24.48,10,3.4
1999,JAN,3,7,33,31.8,41.98,22.08,5,3.6
1999,JAN,3,22,49,9.7,37.22,21.85,5,2.6
1999,JAN,4,2,16,26.1,37.57,21.86,5,2.7
1999,JAN,4,2,28,12.7,36.34,27.3,10,3.6
1999,JAN,4,2,44,56.5,39.92,20.67,10,3.1
1999,JAN,4,3,17,27.2,39.91,20.64,10,3.1
1999,JAN,4,12,10,46.8,35.08,25.65,10,3.5
1999,JAN,4,15,17,40.5,36.61,22.46,5,3.2
1999,JAN,4,15,56,33.9,38.29,21.97,5,2.7
1999,JAN,4,18,21,44.1,38.22,20.56,5,3.1
1999,JAN,4,22,8,58,35,24.22,30,3.6
1999,JAN,5,9,35,11.1,39.04,22.66,5,3.2
1999,JAN,5,12,4,15.3,36.62,27.29,10,3.6
1999,JAN,5,15,8,27.5,37.24,27.93,10,3.5
1999,JAN,5,17,40,52.6,39.78,21.86,10,3.3
1999,JAN,5,21,32,44.3,35.57,26.12,37,4
1999,JAN,6,22,41,4.2,39.16,27.82,5,3.7
1999,JAN,7,1,4,59.7,39.78,23.45,10,3.4
1999,JAN,7,14,48,51,39.59,20.47,5,2.9
1999,JAN,7,17,58,35,38.78,21.56,5,3.6
1999,JAN,7,18,0,41.2,38.62,21.96,6,2.9
1999,JAN,8,0,40,29.2,39.05,26.49,5,3.4
1999,JAN,8,3,21,3.4,38.87,26.41,10,3.3
1999,JAN,8,8,10,12.7,38.73,23.38,5,3.5
1999,JAN,8,20,2,56.2,38.8,23.47,5,3.2
1999,JAN,8,20,49,19.9,37.81,27.38,5,4
1999,JAN,8,21,26,57.3,38.46,21.81,5,3.3
1999,JAN,9,0,20,58.5,35.81,23.73,6,3.6
1999,JAN,9,20,32,36.6,34.14,25.5,5,4.2
1999,JAN,10,0,17,25.7,40.65,23.87,5,3.7
1999,JAN,10,8,11,53.2,38.82,26.88,5,3.8
1999,JAN,10,8,34,29,38.69,26.42,18,3.9
1999,JAN,10,10,53,27.5,38.84,26.92,5,3.6
1999,JAN,10,12,31,44.6,38.65,21.76,5,3
1999,JAN,10,13,45,35.1,38.71,26.46,25,3.4
1999,JAN,10,14,17,11.8,38.81,26.89,3,3.7
1999,JAN,10,19,29,54.1,37.15,20.99,5,3.5
1999,JAN,11,0,31,33.8,38.2,20.55,5,3.6
1999,JAN,11,0,46,3.9,37.19,26.61,5,3.5
1999,JAN,11,15,40,32.1,38.28,21.95,10,2.8
1999,JAN,11,18,58,51.3,35.94,23.81,5,3.5
1999,JAN,11,20,58,57.3,38.99,27.1,5,3.8
1999,JAN,12,2,22,38.6,40.07,25.37,10,2.9
1999,JAN,12,3,10,31.6,36.45,26.7,37,3.8
1999,JAN,12,5,27,43.7,38.53,26.9,10,3.6
1999,JAN,12,5,38,46.1,39.53,20.75,8,3.1
1999,JAN,12,7,26,11.7,40.03,20.65,5,4.2
1999,JAN,12,7,38,21.4,39.93,20.51,10,2.8
1999,JAN,13,2,32,41,37.58,20.97,10,2.7
1999,JAN,13,6,41,52.2,38.73,26.52,10,3.5
1999,JAN,13,11,28,51.8,38.22,20.58,10,2.8
1999,JAN,13,13,39,24.4,37.05,23.83,4,2.7
1999,JAN,13,16,1,32.4,37.24,20.63,5,2.9
1999,JAN,13,16,6,2.7,39.62,28.14,10,3.4
1999,JAN,14,18,10,25.9,38.47,25.61,36,3.2
1999,JAN,14,20,4,48.5,37.15,21,5,3
1999,JAN,15,0,27,59.5,36.06,22.6,5,3.4
1999,JAN,15,0,52,35.2,38.95,23.47,4,3.2
1999,JAN,15,2,36,31,37.15,21,5,2.8
1999,JAN,15,3,44,55.3,40,24.64,5,3.4
1999,JAN,15,5,13,36.7,37.92,19.66,5,3.1
1999,JAN,15,6,31,36.8,34.72,26.02,29,4.2
1999,JAN,15,9,51,40.6,35.45,25.89,27,3.9
1999,JAN,15,10,16,44.5,34.75,26.29,69,4.3
1999,JAN,17,8,57,28.1,40.06,21.6,5,3.1
1999,JAN,17,21,9,36.5,38.76,21.61,5,3.4
1999,JAN,17,21,40,50.6,38.63,21.78,5,2.8
1999,JAN,17,23,35,25.4,38.99,23.27,41,3
1999,JAN,18,5,27,24.9,38.89,22,19,2.8
1999,JAN,18,19,51,23.6,36.67,25.09,38,3.5
1999,JAN,18,20,34,50.2,36.79,24.84,37,3.5
1999,JAN,18,20,56,7.2,39.15,24.84,5,3
1999,JAN,18,21,49,42.2,35.68,22.91,24,3.7
1999,JAN,18,22,7,21.6,35.87,23.03,35,3.1
1999,JAN,18,22,40,30.5,38.31,21.79,5,3.2
1999,JAN,18,23,21,18.4,37.28,20.35,5,3.1
1999,JAN,19,3,12,43.9,37.26,20.52,5,2.9
1999,JAN,19,4,57,57.9,38.36,21.81,5,2.9
1999,JAN,19,5,53,30.6,38.79,21.46,5,3.6
1999,JAN,19,7,48,38.3,34.45,25.82,127,4.3
1999,JAN,19,8,34,29,38.92,21.53,5,3
1999,JAN,19,10,55,37,35.11,24.18,22,4
1999,JAN,19,16,17,33.5,34.8,24.08,5,3.3
1999,JAN,19,20,35,17.2,35.27,27.09,37,3.9
1999,JAN,20,2,43,45.5,38.71,20.48,5,2.8
1999,JAN,20,2,45,20.8,35.37,27.91,5,4.4
1999,JAN,20,3,57,23.1,35.49,28.02,36,3.7
1999,JAN,20,7,34,31.9,37.43,20.75,5,2.9
1999,JAN,20,8,53,48,39.12,21.26,10,3
1999,JAN,20,20,21,31.5,38.83,21.78,5,2.9
1999,JAN,20,21,20,8.9,40.56,25.66,10,2.9
1999,JAN,21,8,26,6.1,38.02,21.49,5,3.3
1999,JAN,21,16,32,10.9,39.4,20.5,5,2.9
1999,JAN,21,23,48,31.3,37.85,21.11,4,2.8
1999,JAN,22,0,49,23.1,35.04,24.83,5,3.5
1999,JAN,22,2,6,21.3,38.61,21.84,5,2.8
1999,JAN,22,4,0,15.5,34.97,22.95,5,3.2
1999,JAN,22,19,10,9.1,39.07,23.2,5,3
1999,JAN,22,19,14,54.5,35.04,24.23,20,4.1
1999,JAN,22,20,22,13.2,37.17,20.81,5,2.9
1999,JAN,22,21,28,47.2,39.05,23.09,5,3
1999,JAN,23,19,41,45.1,37.83,27.53,5,3.7
1999,JAN,23,21,47,4.6,38.25,22.41,5,2.7
1999,JAN,23,23,44,44.1,39.02,22.02,5,3
1999,JAN,24,6,46,0.9,39.3,19.6,7,2.9
1999,JAN,24,8,29,50.9,37.6,21.2,5,3
1999,JAN,24,10,2,1.9,38.74,19.26,36,3.2
1999,JAN,24,10,17,36.1,38.13,20.53,5,3.6
